Lead_ID,Location,College,Year Of Study,Program Intrest,Lead Source
LD18824,Hyderabad,IIM Bangalore,1st,Data Science,College Colloboration
LD18825,Ahmedabad,IIIT Hyderabad,2nd,Robotics,Google Form
LD18826,Hyderabad,IIM A,2nd,Human Resource,Instagram
LD18827,Mumbai,VNIT Nagpur,4th,Data Science,Google Form
LD18828,Delhi,IIM Bangalore,2nd,Computer Science,Linkedin
LD18829,Delhi,IIT Delhi,1st,Data Science,Instagram
LD18830,Mumbai,Ramdeobaba Univerisity,1st,Computer Science,Google Form
LD18831,Ahmedabad,Ramdeobaba Univerisity,3rd,Data Science,Whatsapp
LD18832,Bangalore,Ramdeobaba Univerisity,4th,Robotics,Whatsapp
LD18833,Bangalore,IIM A,4th,Artificial Intelligence,Instagram
LD18834,Ahmedabad,IIT Delhi,4th,Artificial Intelligence,Linkedin
LD18835,Hyderabad,BIITS Raipur,3rd,Robotics,Instagram
LD18836,Raipur,IIT Delhi,1st,Finance,Linkedin
LD18837,Mumbai,IIM A,4th,Artificial Intelligence,Instagram
LD18838,Hyderabad,BIITS Raipur,1st,Robotics,Linkedin
LD18839,Delhi,IIT Delhi,4th,Artificial Intelligence,Google Form
LD18840,Mumbai,Ramdeobaba Univerisity,2nd,Human Resource,Linkedin
LD18841,Delhi,BIITS Raipur,1st,Artificial Intelligence,College Colloboration
LD18842,Delhi,IIM A,4th,Computer Science,College Colloboration
LD18843,Mumbai,BIITS Raipur,3rd,Computer Science,Whatsapp
LD18844,Nagpur,IIT Bombay,4th,Data Science,Whatsapp
LD18845,Raipur,Ramdeobaba Univerisity,1st,Human Resource,Linkedin
LD18846,Raipur,IIM A,1st,Human Resource,Instagram
LD18847,Hyderabad,IIM A,2nd,Human Resource,College Colloboration
LD18848,Mumbai,BIITS Raipur,3rd,Computer Science,Whatsapp
LD18849,Raipur,IIM Bangalore,4th,Data Science,Whatsapp
LD18850,Ahmedabad,IIM A,2nd,Computer Science,Google Form
LD18851,Delhi,VNIT Nagpur,3rd,Robotics,Linkedin
LD18852,Raipur,Ramdeobaba Univerisity,3rd,Artificial Intelligence,Whatsapp
LD18853,Nagpur,IIIT Hyderabad,2nd,Finance,College Colloboration
LD18854,Mumbai,IIIT Hyderabad,4th,Human Resource,Whatsapp
LD18855,Mumbai,VNIT Nagpur,4th,Artificial Intelligence,College Colloboration
LD18856,Mumbai,IIM Bangalore,3rd,Robotics,Google Form
LD18857,Ahmedabad,IIM Bangalore,1st,Finance,Whatsapp
LD18858,Delhi,VNIT Nagpur,2nd,Data Science,Whatsapp
LD18859,Ahmedabad,IIT Bombay,3rd,Human Resource,Instagram
LD18860,Mumbai,VNIT Nagpur,2nd,Artificial Intelligence,College Colloboration
LD18861,Mumbai,IIIT Hyderabad,2nd,Finance,Google Form
LD18862,Ahmedabad,IIIT Hyderabad,3rd,Finance,College Colloboration
LD18863,Bangalore,IIIT Hyderabad,4th,Robotics,College Colloboration
LD18864,Hyderabad,IIT Bombay,3rd,Computer Science,Google Form
LD18865,Delhi,IIM A,3rd,Artificial Intelligence,Instagram
LD18866,Ahmedabad,IIT Bombay,1st,Artificial Intelligence,Linkedin
LD18867,Hyderabad,VNIT Nagpur,1st,Artificial Intelligence,Linkedin
LD18868,Bangalore,BIITS Raipur,2nd,Finance,Google Form
LD18869,Hyderabad,IIIT Hyderabad,3rd,Data Science,Whatsapp
LD18870,Ahmedabad,IIM Bangalore,3rd,Finance,Linkedin
LD18871,Hyderabad,IIM A,1st,Artificial Intelligence,Instagram
LD18872,Bangalore,IIIT Hyderabad,1st,Artificial Intelligence,Instagram
LD18873,Delhi,VNIT Nagpur,1st,Finance,Google Form
LD18874,Delhi,IIM Bangalore,2nd,Human Resource,Google Form
LD18875,Delhi,IIT Delhi,1st,Data Science,Instagram
LD18876,Raipur,IIM A,2nd,Computer Science,College Colloboration
LD18877,Delhi,IIM A,1st,Artificial Intelligence,Instagram
LD18878,Bangalore,IIT Bombay,4th,Computer Science,Instagram
LD18879,Hyderabad,BIITS Raipur,4th,Human Resource,College Colloboration
LD18880,Ahmedabad,IIM A,2nd,Human Resource,Instagram
LD18881,Raipur,IIM A,2nd,Data Science,Google Form
LD18882,Delhi,BIITS Raipur,2nd,Computer Science,Linkedin
LD18883,Delhi,IIT Bombay,3rd,Computer Science,Google Form
LD18884,Nagpur,IIM A,1st,Artificial Intelligence,Instagram
LD18885,Ahmedabad,BIITS Raipur,2nd,Data Science,Linkedin
LD18886,Ahmedabad,IIM A,1st,Data Science,College Colloboration
LD18887,Bangalore,IIT Bombay,4th,Data Science,Linkedin
LD18888,Raipur,VNIT Nagpur,2nd,Finance,Instagram
LD18889,Delhi,IIT Delhi,1st,Finance,College Colloboration
LD18890,Raipur,IIT Delhi,2nd,Human Resource,College Colloboration
LD18891,Mumbai,IIT Bombay,1st,Robotics,Instagram
LD18892,Delhi,IIIT Hyderabad,4th,Computer Science,Linkedin
LD18893,Delhi,VNIT Nagpur,2nd,Finance,College Colloboration
LD18894,Raipur,IIT Bombay,1st,Artificial Intelligence,Instagram
LD18895,Hyderabad,IIM A,2nd,Data Science,Google Form
LD18896,Delhi,BIITS Raipur,3rd,Computer Science,College Colloboration
LD18897,Raipur,IIT Delhi,1st,Artificial Intelligence,Whatsapp
LD18898,Mumbai,IIT Bombay,2nd,Human Resource,Whatsapp
LD18899,Hyderabad,IIM Bangalore,2nd,Human Resource,Whatsapp
LD18900,Hyderabad,IIIT Hyderabad,3rd,Human Resource,College Colloboration
LD18901,Ahmedabad,VNIT Nagpur,3rd,Artificial Intelligence,Instagram
LD18902,Bangalore,IIT Delhi,1st,Human Resource,Google Form
LD18903,Mumbai,IIM A,4th,Computer Science,Instagram
LD18904,Delhi,Ramdeobaba Univerisity,4th,Human Resource,Linkedin
LD18905,Raipur,IIT Bombay,1st,Data Science,Linkedin
LD18906,Raipur,IIM A,1st,Finance,Whatsapp
LD18907,Bangalore,Ramdeobaba Univerisity,3rd,Robotics,Linkedin
LD18908,Bangalore,IIT Delhi,4th,Data Science,Whatsapp
LD18909,Mumbai,IIM Bangalore,4th,Finance,Linkedin
LD18910,Mumbai,Ramdeobaba Univerisity,1st,Computer Science,Google Form
LD18911,Delhi,IIIT Hyderabad,4th,Human Resource,Instagram
LD18912,Nagpur,VNIT Nagpur,4th,Artificial Intelligence,Linkedin
LD18913,Delhi,IIT Delhi,4th,Robotics,Linkedin
LD18914,Nagpur,VNIT Nagpur,4th,Human Resource,Linkedin
LD18915,Hyderabad,IIT Delhi,1st,Artificial Intelligence,Linkedin
LD18916,Ahmedabad,IIIT Hyderabad,3rd,Data Science,College Colloboration
LD18917,Hyderabad,IIT Delhi,3rd,Robotics,College Colloboration
LD18918,Mumbai,IIIT Hyderabad,1st,Artificial Intelligence,Google Form
LD18919,Nagpur,IIT Bombay,3rd,Robotics,College Colloboration
LD18920,Ahmedabad,IIT Bombay,3rd,Data Science,Google Form
LD18921,Nagpur,IIT Bombay,4th,Data Science,College Colloboration
LD18922,Ahmedabad,IIT Delhi,4th,Artificial Intelligence,College Colloboration
LD18923,Delhi,IIIT Hyderabad,4th,Robotics,College Colloboration
LD18924,Hyderabad,IIT Bombay,2nd,Robotics,Google Form
LD18925,Mumbai,IIM Bangalore,1st,Data Science,Linkedin
LD18926,Raipur,Ramdeobaba Univerisity,4th,Robotics,Whatsapp
LD18927,Hyderabad,BIITS Raipur,2nd,Artificial Intelligence,Whatsapp
LD18928,Ahmedabad,IIM Bangalore,1st,Finance,Google Form
LD18929,Delhi,IIT Bombay,3rd,Robotics,Whatsapp
LD18930,Nagpur,IIM A,1st,Robotics,Google Form
LD18931,Bangalore,BIITS Raipur,3rd,Finance,Whatsapp
LD18932,Ahmedabad,IIT Delhi,1st,Data Science,Google Form
LD18933,Raipur,IIT Bombay,4th,Computer Science,Linkedin
LD18934,Raipur,BIITS Raipur,3rd,Artificial Intelligence,College Colloboration
LD18935,Ahmedabad,IIT Delhi,1st,Finance,Whatsapp
LD18936,Ahmedabad,IIIT Hyderabad,4th,Robotics,College Colloboration
LD18937,Raipur,IIM Bangalore,3rd,Robotics,College Colloboration
LD18938,Raipur,IIM A,4th,Robotics,College Colloboration
LD18939,Mumbai,BIITS Raipur,1st,Finance,College Colloboration
LD18940,Bangalore,IIT Bombay,2nd,Artificial Intelligence,College Colloboration
LD18941,Nagpur,BIITS Raipur,1st,Robotics,Google Form
LD18942,Raipur,IIIT Hyderabad,4th,Data Science,Google Form
LD18943,Ahmedabad,IIT Bombay,1st,Robotics,Instagram
LD18944,Ahmedabad,Ramdeobaba Univerisity,3rd,Human Resource,Whatsapp
LD18945,Ahmedabad,Ramdeobaba Univerisity,3rd,Finance,Linkedin
LD18946,Delhi,IIM Bangalore,4th,Finance,Linkedin
LD18947,Ahmedabad,BIITS Raipur,1st,Finance,Instagram
LD18948,Mumbai,BIITS Raipur,2nd,Human Resource,Google Form
LD18949,Delhi,IIM Bangalore,1st,Data Science,Linkedin
LD18950,Bangalore,VNIT Nagpur,4th,Robotics,Whatsapp
LD18951,Delhi,Ramdeobaba Univerisity,4th,Computer Science,Instagram
LD18952,Nagpur,IIT Delhi,2nd,Computer Science,Whatsapp
LD18953,Ahmedabad,Ramdeobaba Univerisity,3rd,Human Resource,Whatsapp
LD18954,Delhi,IIM A,2nd,Artificial Intelligence,College Colloboration
LD18955,Raipur,IIT Delhi,2nd,Finance,Instagram
LD18956,Mumbai,IIIT Hyderabad,4th,Artificial Intelligence,College Colloboration
LD18957,Delhi,IIT Bombay,1st,Finance,College Colloboration
LD18958,Delhi,IIT Delhi,2nd,Human Resource,College Colloboration
LD18959,Bangalore,IIM Bangalore,2nd,Data Science,College Colloboration
LD18960,Ahmedabad,IIM Bangalore,4th,Finance,Instagram
LD18961,Nagpur,IIIT Hyderabad,1st,Computer Science,Linkedin
LD18962,Bangalore,IIM A,4th,Artificial Intelligence,Google Form
LD18963,Bangalore,IIM A,2nd,Computer Science,Linkedin
LD18964,Mumbai,IIM Bangalore,4th,Human Resource,College Colloboration
LD18965,Hyderabad,IIT Bombay,3rd,Artificial Intelligence,College Colloboration
LD18966,Raipur,IIT Bombay,3rd,Human Resource,Linkedin
LD18967,Bangalore,IIT Delhi,3rd,Data Science,Instagram
LD18968,Bangalore,IIM Bangalore,4th,Computer Science,Linkedin
LD18969,Nagpur,VNIT Nagpur,2nd,Human Resource,College Colloboration
LD18970,Delhi,BIITS Raipur,3rd,Finance,Linkedin
LD18971,Mumbai,VNIT Nagpur,3rd,Robotics,Instagram
LD18972,Hyderabad,Ramdeobaba Univerisity,3rd,Robotics,Google Form
LD18973,Bangalore,Ramdeobaba Univerisity,3rd,Human Resource,Google Form
LD18974,Delhi,BIITS Raipur,1st,Robotics,Linkedin
LD18975,Mumbai,BIITS Raipur,4th,Finance,Instagram
LD18976,Ahmedabad,BIITS Raipur,3rd,Human Resource,Linkedin
LD18977,Delhi,BIITS Raipur,3rd,Finance,Instagram
LD18978,Raipur,IIM A,1st,Computer Science,Linkedin
LD18979,Bangalore,IIM A,1st,Data Science,Instagram
LD18980,Nagpur,IIM Bangalore,3rd,Finance,Linkedin
LD18981,Delhi,IIM A,3rd,Artificial Intelligence,College Colloboration
LD18982,Nagpur,VNIT Nagpur,1st,Computer Science,Instagram
LD18983,Delhi,IIT Bombay,4th,Robotics,Google Form
LD18984,Delhi,BIITS Raipur,2nd,Data Science,Instagram
LD18985,Ahmedabad,IIT Delhi,3rd,Computer Science,Whatsapp
LD18986,Hyderabad,Ramdeobaba Univerisity,2nd,Human Resource,Whatsapp
LD18987,Mumbai,IIM A,2nd,Robotics,Google Form
LD18988,Hyderabad,IIT Bombay,1st,Artificial Intelligence,Google Form
LD18989,Hyderabad,IIM Bangalore,1st,Human Resource,College Colloboration
LD18990,Delhi,IIM A,2nd,Artificial Intelligence,Whatsapp
LD18991,Nagpur,IIT Bombay,2nd,Data Science,Linkedin
LD18992,Hyderabad,BIITS Raipur,1st,Computer Science,College Colloboration
LD18993,Delhi,IIM A,2nd,Data Science,Google Form
LD18994,Delhi,IIM Bangalore,3rd,Computer Science,Google Form
LD18995,Raipur,IIIT Hyderabad,3rd,Human Resource,Google Form
LD18996,Ahmedabad,Ramdeobaba Univerisity,1st,Artificial Intelligence,College Colloboration
LD18997,Mumbai,VNIT Nagpur,2nd,Robotics,Whatsapp
LD18998,Ahmedabad,BIITS Raipur,2nd,Data Science,Whatsapp
LD18999,Bangalore,Ramdeobaba Univerisity,1st,Artificial Intelligence,College Colloboration
LD19000,Ahmedabad,IIM A,4th,Computer Science,Whatsapp
LD19001,Nagpur,Ramdeobaba Univerisity,1st,Finance,Google Form
LD19002,Nagpur,IIT Bombay,4th,Human Resource,Instagram
LD19003,Mumbai,Ramdeobaba Univerisity,2nd,Finance,Whatsapp
LD19004,Raipur,IIM Bangalore,2nd,Finance,Google Form
LD19005,Nagpur,Ramdeobaba Univerisity,4th,Computer Science,Google Form
LD19006,Bangalore,BIITS Raipur,4th,Data Science,College Colloboration
LD19007,Raipur,IIM Bangalore,1st,Data Science,College Colloboration
LD19008,Hyderabad,IIT Bombay,4th,Robotics,Linkedin
LD19009,Ahmedabad,IIM A,2nd,Artificial Intelligence,College Colloboration
LD19010,Bangalore,BIITS Raipur,1st,Computer Science,College Colloboration
LD19011,Bangalore,IIT Delhi,2nd,Human Resource,Whatsapp
LD19012,Bangalore,IIM A,4th,Finance,Google Form
LD19013,Hyderabad,IIT Delhi,3rd,Robotics,Instagram
LD19014,Delhi,BIITS Raipur,1st,Human Resource,Google Form
LD19015,Mumbai,VNIT Nagpur,2nd,Human Resource,Whatsapp
LD19016,Hyderabad,BIITS Raipur,3rd,Data Science,Linkedin
LD19017,Ahmedabad,IIIT Hyderabad,1st,Computer Science,College Colloboration
LD19018,Nagpur,BIITS Raipur,1st,Robotics,College Colloboration
LD19019,Hyderabad,VNIT Nagpur,2nd,Data Science,College Colloboration
LD19020,Delhi,BIITS Raipur,1st,Computer Science,Instagram
LD19021,Mumbai,VNIT Nagpur,4th,Finance,College Colloboration
LD19022,Raipur,BIITS Raipur,3rd,Finance,Instagram
LD19023,Nagpur,IIM Bangalore,3rd,Computer Science,College Colloboration
LD19024,Mumbai,IIT Bombay,2nd,Computer Science,Linkedin
LD19025,Nagpur,IIM Bangalore,4th,Human Resource,Google Form
LD19026,Mumbai,BIITS Raipur,3rd,Finance,Linkedin
LD19027,Ahmedabad,IIIT Hyderabad,3rd,Robotics,Instagram
LD19028,Raipur,IIM A,2nd,Computer Science,College Colloboration
LD19029,Nagpur,VNIT Nagpur,1st,Finance,Whatsapp
LD19030,Raipur,IIT Bombay,3rd,Data Science,Whatsapp
LD19031,Bangalore,VNIT Nagpur,2nd,Finance,Whatsapp
LD19032,Delhi,IIIT Hyderabad,2nd,Data Science,Whatsapp
LD19033,Mumbai,IIT Bombay,2nd,Data Science,Whatsapp
LD19034,Raipur,IIM Bangalore,3rd,Finance,Google Form
LD19035,Delhi,IIM A,2nd,Computer Science,Whatsapp
LD19036,Hyderabad,IIM A,4th,Computer Science,College Colloboration
LD19037,Delhi,Ramdeobaba Univerisity,1st,Finance,Google Form
LD19038,Bangalore,IIT Delhi,4th,Robotics,Whatsapp
LD19039,Bangalore,IIT Delhi,2nd,Computer Science,Instagram
LD19040,Ahmedabad,IIT Delhi,1st,Finance,Google Form
LD19041,Ahmedabad,IIT Bombay,1st,Artificial Intelligence,Instagram
LD19042,Hyderabad,IIM A,4th,Artificial Intelligence,Google Form
LD19043,Delhi,IIIT Hyderabad,3rd,Finance,Instagram
LD19044,Delhi,IIT Delhi,4th,Computer Science,Whatsapp
LD19045,Mumbai,VNIT Nagpur,2nd,Finance,Linkedin
LD19046,Ahmedabad,IIT Delhi,3rd,Artificial Intelligence,College Colloboration
LD19047,Mumbai,IIT Delhi,1st,Robotics,Instagram
LD19048,Hyderabad,IIT Bombay,1st,Computer Science,College Colloboration
LD19049,Delhi,BIITS Raipur,1st,Finance,Linkedin
LD19050,Bangalore,IIM A,2nd,Finance,College Colloboration
LD19051,Ahmedabad,IIT Delhi,4th,Robotics,Linkedin
LD19052,Raipur,IIIT Hyderabad,4th,Artificial Intelligence,College Colloboration
LD19053,Bangalore,Ramdeobaba Univerisity,2nd,Human Resource,College Colloboration
LD19054,Ahmedabad,BIITS Raipur,3rd,Artificial Intelligence,Google Form
LD19055,Bangalore,BIITS Raipur,2nd,Human Resource,Linkedin
LD19056,Hyderabad,IIIT Hyderabad,2nd,Human Resource,Whatsapp
LD19057,Ahmedabad,IIT Bombay,2nd,Robotics,Google Form
LD19058,Raipur,BIITS Raipur,3rd,Computer Science,Google Form
LD19059,Bangalore,BIITS Raipur,4th,Human Resource,Linkedin
LD19060,Delhi,VNIT Nagpur,1st,Robotics,Google Form
LD19061,Nagpur,VNIT Nagpur,3rd,Finance,College Colloboration
LD19062,Mumbai,VNIT Nagpur,1st,Human Resource,Linkedin
LD19063,Nagpur,IIIT Hyderabad,4th,Computer Science,Google Form
LD19064,Mumbai,BIITS Raipur,1st,Artificial Intelligence,College Colloboration
LD19065,Hyderabad,BIITS Raipur,2nd,Computer Science,Google Form
LD19066,Mumbai,IIT Delhi,2nd,Data Science,College Colloboration
LD19067,Delhi,IIIT Hyderabad,3rd,Human Resource,Linkedin
LD19068,Nagpur,IIT Bombay,4th,Finance,Google Form
LD19069,Nagpur,BIITS Raipur,4th,Artificial Intelligence,Google Form
LD19070,Nagpur,IIT Bombay,1st,Robotics,Instagram
LD19071,Hyderabad,BIITS Raipur,3rd,Computer Science,Instagram
LD19072,Bangalore,IIIT Hyderabad,2nd,Finance,Instagram
LD19073,Bangalore,Ramdeobaba Univerisity,2nd,Data Science,Whatsapp
LD19074,Raipur,Ramdeobaba Univerisity,4th,Finance,Linkedin
LD19075,Ahmedabad,IIM Bangalore,4th,Data Science,College Colloboration
LD19076,Ahmedabad,IIM A,1st,Finance,Whatsapp
LD19077,Hyderabad,IIT Delhi,4th,Computer Science,College Colloboration
LD19078,Raipur,IIT Bombay,1st,Human Resource,Whatsapp
LD19079,Bangalore,VNIT Nagpur,3rd,Artificial Intelligence,Instagram
LD19080,Bangalore,BIITS Raipur,2nd,Computer Science,College Colloboration
LD19081,Hyderabad,Ramdeobaba Univerisity,3rd,Human Resource,Linkedin
LD19082,Bangalore,BIITS Raipur,1st,Robotics,Linkedin
LD19083,Mumbai,BIITS Raipur,1st,Human Resource,Whatsapp
LD19084,Hyderabad,BIITS Raipur,1st,Finance,Linkedin
LD19085,Hyderabad,IIIT Hyderabad,2nd,Finance,Linkedin
LD19086,Nagpur,IIIT Hyderabad,2nd,Robotics,Instagram
LD19087,Nagpur,BIITS Raipur,3rd,Human Resource,Google Form
LD19088,Bangalore,Ramdeobaba Univerisity,4th,Robotics,Instagram
LD19089,Hyderabad,IIT Bombay,4th,Robotics,Instagram
LD19090,Ahmedabad,IIM A,1st,Data Science,College Colloboration
LD19091,Mumbai,IIT Bombay,1st,Human Resource,Whatsapp
LD19092,Delhi,IIT Bombay,1st,Robotics,Google Form
LD19093,Raipur,BIITS Raipur,1st,Finance,Linkedin
LD19094,Mumbai,VNIT Nagpur,2nd,Data Science,Instagram
LD19095,Mumbai,IIT Bombay,4th,Finance,Instagram
LD19096,Ahmedabad,IIT Delhi,1st,Finance,College Colloboration
LD19097,Delhi,BIITS Raipur,3rd,Data Science,Whatsapp
LD19098,Delhi,VNIT Nagpur,1st,Data Science,Google Form
LD19099,Raipur,IIT Bombay,3rd,Finance,Instagram
LD19100,Ahmedabad,Ramdeobaba Univerisity,1st,Computer Science,Instagram
LD19101,Ahmedabad,IIM Bangalore,2nd,Computer Science,College Colloboration
LD19102,Delhi,VNIT Nagpur,3rd,Artificial Intelligence,Whatsapp
LD19103,Hyderabad,VNIT Nagpur,1st,Human Resource,Instagram
LD19104,Ahmedabad,IIM A,3rd,Computer Science,Instagram
LD19105,Ahmedabad,IIM Bangalore,2nd,Finance,Instagram
LD19106,Delhi,IIT Delhi,4th,Data Science,Google Form
LD19107,Mumbai,IIM A,1st,Computer Science,Instagram
LD19108,Nagpur,BIITS Raipur,4th,Artificial Intelligence,Linkedin
LD19109,Ahmedabad,IIM A,3rd,Computer Science,College Colloboration
LD19110,Nagpur,IIT Bombay,3rd,Data Science,College Colloboration
LD19111,Delhi,IIM Bangalore,3rd,Computer Science,Linkedin
LD19112,Delhi,IIM Bangalore,1st,Computer Science,College Colloboration
LD19113,Bangalore,BIITS Raipur,1st,Artificial Intelligence,Whatsapp
LD19114,Mumbai,VNIT Nagpur,3rd,Finance,Google Form
LD19115,Delhi,IIM Bangalore,2nd,Computer Science,Linkedin
LD19116,Hyderabad,IIT Bombay,3rd,Artificial Intelligence,Linkedin
LD19117,Hyderabad,IIM A,3rd,Finance,Instagram
LD19118,Ahmedabad,IIM A,3rd,Artificial Intelligence,College Colloboration
LD19119,Raipur,IIT Delhi,2nd,Robotics,Whatsapp
LD19120,Hyderabad,IIT Delhi,1st,Finance,College Colloboration
LD19121,Ahmedabad,VNIT Nagpur,2nd,Data Science,Whatsapp
LD19122,Mumbai,IIIT Hyderabad,4th,Computer Science,Linkedin
LD19123,Delhi,VNIT Nagpur,3rd,Data Science,College Colloboration
LD19124,Nagpur,VNIT Nagpur,2nd,Robotics,Google Form
LD19125,Raipur,Ramdeobaba Univerisity,4th,Artificial Intelligence,Instagram
LD19126,Bangalore,VNIT Nagpur,3rd,Artificial Intelligence,College Colloboration
LD19127,Delhi,IIM Bangalore,4th,Human Resource,Instagram
LD19128,Delhi,IIT Delhi,3rd,Data Science,Linkedin
LD19129,Hyderabad,IIIT Hyderabad,2nd,Finance,Whatsapp
LD19130,Bangalore,BIITS Raipur,4th,Finance,College Colloboration
LD19131,Bangalore,IIIT Hyderabad,1st,Artificial Intelligence,Google Form
LD19132,Hyderabad,IIT Bombay,3rd,Finance,Instagram
LD19133,Hyderabad,VNIT Nagpur,2nd,Finance,Google Form
LD19134,Mumbai,Ramdeobaba Univerisity,3rd,Finance,Google Form
LD19135,Raipur,IIT Bombay,3rd,Robotics,College Colloboration
LD19136,Mumbai,IIM Bangalore,1st,Robotics,Google Form
LD19137,Raipur,IIIT Hyderabad,1st,Artificial Intelligence,College Colloboration
LD19138,Hyderabad,Ramdeobaba Univerisity,2nd,Human Resource,Google Form
LD19139,Hyderabad,BIITS Raipur,4th,Artificial Intelligence,Whatsapp
LD19140,Hyderabad,VNIT Nagpur,3rd,Robotics,Whatsapp
LD19141,Ahmedabad,BIITS Raipur,1st,Robotics,Whatsapp
LD19142,Bangalore,VNIT Nagpur,2nd,Computer Science,College Colloboration
LD19143,Ahmedabad,Ramdeobaba Univerisity,3rd,Human Resource,Google Form
LD19144,Hyderabad,IIT Bombay,3rd,Finance,College Colloboration
LD19145,Mumbai,IIT Delhi,1st,Finance,College Colloboration
LD19146,Delhi,BIITS Raipur,2nd,Finance,Linkedin
LD19147,Raipur,IIT Delhi,4th,Finance,College Colloboration
LD19148,Hyderabad,Ramdeobaba Univerisity,1st,Data Science,Google Form
LD19149,Bangalore,Ramdeobaba Univerisity,2nd,Human Resource,Google Form
LD19150,Mumbai,IIT Delhi,2nd,Artificial Intelligence,Google Form
LD19151,Nagpur,Ramdeobaba Univerisity,1st,Finance,Whatsapp
LD19152,Raipur,IIIT Hyderabad,3rd,Finance,Google Form
LD19153,Mumbai,IIT Bombay,3rd,Robotics,Linkedin
LD19154,Hyderabad,IIM Bangalore,2nd,Artificial Intelligence,Linkedin
LD19155,Mumbai,IIM A,3rd,Human Resource,College Colloboration
LD19156,Hyderabad,IIT Delhi,2nd,Artificial Intelligence,Instagram
LD19157,Delhi,IIT Bombay,2nd,Finance,College Colloboration
LD19158,Mumbai,BIITS Raipur,3rd,Finance,College Colloboration
LD19159,Hyderabad,IIT Delhi,4th,Computer Science,Whatsapp
LD19160,Delhi,IIM Bangalore,3rd,Computer Science,Linkedin
LD19161,Nagpur,Ramdeobaba Univerisity,3rd,Robotics,Whatsapp
LD19162,Ahmedabad,Ramdeobaba Univerisity,1st,Robotics,Google Form
LD19163,Raipur,IIM Bangalore,3rd,Computer Science,Google Form
LD19164,Bangalore,VNIT Nagpur,3rd,Robotics,College Colloboration
LD19165,Bangalore,Ramdeobaba Univerisity,2nd,Human Resource,Google Form
LD19166,Hyderabad,VNIT Nagpur,3rd,Finance,Instagram
LD19167,Ahmedabad,IIM Bangalore,3rd,Computer Science,Instagram
LD19168,Bangalore,IIM A,3rd,Data Science,Google Form
LD19169,Delhi,BIITS Raipur,4th,Robotics,Instagram
LD19170,Nagpur,IIM A,2nd,Computer Science,Google Form
LD19171,Raipur,VNIT Nagpur,2nd,Finance,Whatsapp
LD19172,Nagpur,BIITS Raipur,4th,Artificial Intelligence,Google Form
LD19173,Hyderabad,IIM Bangalore,2nd,Computer Science,Whatsapp
LD19174,Ahmedabad,IIIT Hyderabad,3rd,Data Science,Google Form
LD19175,Delhi,VNIT Nagpur,1st,Artificial Intelligence,Instagram
LD19176,Bangalore,VNIT Nagpur,2nd,Artificial Intelligence,College Colloboration
LD19177,Bangalore,IIM Bangalore,2nd,Artificial Intelligence,Google Form
LD19178,Mumbai,IIT Bombay,4th,Human Resource,Linkedin
LD19179,Delhi,VNIT Nagpur,4th,Robotics,Google Form
LD19180,Raipur,IIT Delhi,1st,Human Resource,Whatsapp
LD19181,Bangalore,IIM Bangalore,2nd,Computer Science,Linkedin
LD19182,Delhi,Ramdeobaba Univerisity,4th,Data Science,Linkedin
LD19183,Bangalore,BIITS Raipur,4th,Computer Science,Instagram
LD19184,Hyderabad,IIM A,3rd,Artificial Intelligence,Whatsapp
LD19185,Raipur,IIM Bangalore,4th,Finance,College Colloboration
LD19186,Mumbai,IIIT Hyderabad,2nd,Human Resource,Whatsapp
LD19187,Raipur,IIM Bangalore,2nd,Finance,Google Form
LD19188,Bangalore,BIITS Raipur,3rd,Data Science,Instagram
LD19189,Hyderabad,IIIT Hyderabad,4th,Finance,Instagram
LD19190,Bangalore,IIT Delhi,1st,Robotics,College Colloboration
LD19191,Mumbai,BIITS Raipur,2nd,Computer Science,Whatsapp
LD19192,Delhi,VNIT Nagpur,4th,Robotics,College Colloboration
LD19193,Mumbai,IIM Bangalore,3rd,Human Resource,Linkedin
LD19194,Bangalore,IIM A,1st,Human Resource,Linkedin
LD19195,Ahmedabad,VNIT Nagpur,3rd,Finance,Whatsapp
LD19196,Mumbai,IIT Delhi,2nd,Computer Science,College Colloboration
LD19197,Bangalore,IIM A,1st,Computer Science,Whatsapp
LD19198,Mumbai,IIM A,1st,Computer Science,Whatsapp
LD19199,Raipur,IIT Bombay,2nd,Artificial Intelligence,Linkedin
LD19200,Raipur,VNIT Nagpur,3rd,Robotics,College Colloboration
LD19201,Mumbai,Ramdeobaba Univerisity,1st,Data Science,College Colloboration
LD19202,Ahmedabad,Ramdeobaba Univerisity,1st,Human Resource,Google Form
LD19203,Delhi,VNIT Nagpur,4th,Robotics,Instagram
LD19204,Bangalore,Ramdeobaba Univerisity,3rd,Robotics,Linkedin
LD19205,Nagpur,IIIT Hyderabad,2nd,Finance,Google Form
LD19206,Mumbai,Ramdeobaba Univerisity,2nd,Data Science,Google Form
LD19207,Hyderabad,VNIT Nagpur,3rd,Artificial Intelligence,Linkedin
LD19208,Bangalore,VNIT Nagpur,3rd,Robotics,Instagram
LD19209,Raipur,IIT Bombay,2nd,Computer Science,Linkedin
LD19210,Mumbai,BIITS Raipur,4th,Finance,Linkedin
LD19211,Mumbai,IIM A,3rd,Data Science,Instagram
LD19212,Ahmedabad,VNIT Nagpur,4th,Artificial Intelligence,Google Form
LD19213,Ahmedabad,IIT Bombay,3rd,Human Resource,Google Form
